10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5
0.9,0.8,0.7,0.65,0.7
35,65
0

1,5,7,5,8,1,6,9,6,11,8,6,4,7,7,4,3,3,1,6,5,8,6,5,5,6,7,4,4,9,7,4,6,2,3,6,3,3,5,10,7,3,4,3,5,5,5,3,5,3,3,3,2,4,3,8,6,8,8,4,2,4,4,7,5,5,10,5,3,5,4,4,5,8,5,4,3,1,0,7,6,5,4,4,3,6,3,5,4,5,6,5,4,2,2,4,4,3,10,3,4,7,2,3,4,7,5,6,6,5,4,3,6,3,4,7,8,-1,4,3,7,2,4,7,4,7,7,3,5,4,6,7,4,5,9,5,6,8,4,6,10,5,8,5,4,4,6,5,4,7,4,7,4,3,3,7,6,5,5,7,5,3,5,4,1,7,2,7,8,3,5,-1,7,5,4,7,7,4,4,4,4,8,3,5,5,5,5,5,2,,,92,79,78,85,89,84,78,78,76,95,84,89,92,62,81,81,90,75,89,85,90,66,78,75,71,75,106,73,78,70,92,56,84,42,79,74,82,88,88,75,77,69,86
2,4,5,5,8,6,5,4,3,9,8,6,2,7,6,9,5,4,5,8,4,6,6,6,6,3,5,5,3,6,6,8,6,5,5,9,4,4,5,4,6,5,6,3,4,6,5,4,6,3,4,5,6,5,5,6,2,5,4,6,7,1,8,7,5,6,4,5,6,5,3,3,4,2,2,3,5,6,6,2,3,2,7,4,10,3,10,6,6,7,7,7,3,7,3,5,6,8,4,7,5,5,10,6,5,6,3,4,6,5,7,3,10,3,4,5,2,7,4,8,5,6,2,4,5,5,5,4,7,7,7,5,6,3,9,8,2,5,6,7,3,6,1,5,8,3,8,5,5,4,2,8,7,7,1,7,8,8,3,7,5,4,4,6,1,0,7,2,5,6,3,4,7,7,5,5,8,1,8,6,4,8,4,2,3,8,6,3,4,,,67,81,82,60,76,77,84,84,75,70,80,62,66,76,83,96,83,69,97,75,70,88,82,101,98,102,93,90,74,85,92,67,73,70,78,86,84,88,89,90,86,79,87
3,5,4,4,4,6,4,3,6,1,2,2,3,4,5,4,3,7,6,6,9,4,4,6,6,3,5,8,8,8,2,7,5,8,4,1,6,4,2,7,9,9,5,-1,6,7,2,6,5,6,6,5,2,5,4,6,3,5,6,4,4,2,8,5,4,5,5,7,4,6,2,6,4,10,5,2,4,0,6,3,7,3,4,3,5,3,4,6,4,3,5,1,3,4,4,5,3,4,7,9,8,8,10,3,9,9,6,6,5,6,5,4,3,5,5,5,7,4,7,3,2,9,5,8,3,8,6,7,4,4,8,8,0,4,4,8,8,4,3,6,4,2,2,5,6,5,3,5,3,4,9,4,2,2,6,5,3,2,3,7,4,6,5,6,4,8,6,7,2,1,3,7,6,7,6,8,4,4,2,5,9,8,4,10,5,6,8,5,6,,,84,75,80,64,80,66,63,72,86,81,76,79,86,78,67,69,80,75,101,94,70,78,81,71,100,74,81,86,82,95,85,85,58,75,80,58,83,87,101,72,80,90,84
4,7,3,5,6,5,4,5,8,5,8,5,5,7,9,9,8,7,5,6,3,7,5,6,2,5,6,3,4,7,6,4,2,8,5,6,7,3,4,0,7,1,4,5,7,6,8,4,5,5,2,9,7,4,4,4,4,2,5,5,5,6,7,3,2,5,4,4,7,2,7,4,4,5,5,6,4,3,10,7,4,5,4,4,4,5,5,8,6,4,9,3,2,5,3,4,6,5,3,5,6,1,6,5,6,2,9,3,4,3,5,6,4,9,3,3,5,9,2,6,6,5,1,6,5,9,4,4,7,6,-1,3,3,5,4,6,3,5,8,3,8,3,3,5,3,4,6,2,3,4,6,1,4,8,5,6,6,7,3,5,6,5,5,3,8,6,6,6,6,5,7,3,3,7,4,4,1,6,5,7,5,1,7,2,8,7,5,4,3,,,87,88,92,69,80,91,86,82,79,72,80,72,78,89,66,98,68,79,89,92,89,80,74,86,83,80,72,85,82,86,85,89,52,74,86,88,75,70,104,89,79,83,65
